front,back,tags,sources,decks,id
What is the *observer pattern*?,It is a behavioral design pattern that lets you define a subscription mechanism to notify multiple objects about any events that happen to the object they’re observing.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,f2fdAKkfmrIxDCL1IjOw
What is effortless mindfulness?,"Effortless mindfulness is letting go of thoughts, present moments, and attention - opening to a naturally compassionate, nonconceptual awake awareness that is interconnected here and Now.","happiness,meditation,effortless mindfulness",The Way of Effortless Mindfulness by Loch Kelly,Mindfulness,fGJrDXdZKEn1DNoIELsX
What is the SCQA format which can be used for an effective opening paragraph?,"* **Situation:** what is the relevant context? *Example: We've been falling behind our competition in shipping product features for two years. Last year, we doubled our engineering team but shipped fewer features than the year before.*

* **Complication:** why is the current situation problematic? *Example: We plan to double our engineering team again this year, but based on last year's experience, we think that will decrease velocity further while significantly increasing our organizational budget.*

* **Question:** what is the core question to address? *Example: Should we keep moving forward with our plan to double engineering this year?*

* **Answer:** what is your best answer to the posed question? *Example: We should stop hiring for the next six months and focus on gelling our existing team. Based on progress at that point, we should refresh our hiring plan for the remainder of the year.*","written communication,scqa",https://staffeng.com/guides/present-to-executives,Clear Communication,fVfXOpspEw8iGBACiEtX
What are proper ways to estimate software projects?,"* Break tasks down into manageable units
* Use historical data and experience
* Employ estimation techniques (e.g., planning poker and wideband delphi)
* Factor in uncertainty with ranged estimates
* Seek out mentorship and guidance
* Don’t get influenced by authority
* Continuously refine estimates
* Communicate estimates and changes frequently","estimation,planning,software development",https://vadimkravcenko.com/shorts/project-estimates,Effective Engineering,g2rHjClDZvqr0IY1FTFd
What two parts is the *basal cost* of a feature composed of?,"* The direct impact in the team capacity of the added complexity of this feature (new dependencies, more code to understand, more possibilities for bugs to hide, etc).

* The impact on the cost of the development or evolution of other features due to potential incompatibilities, coupling, etc.","software engineering,cost",https://www.eferro.net/2021/02/basal-cost-of-software.html,Effective Engineering,gSXjLCdETeh7HKMD5Fjc
Can semantic coupling be improved by implementation coupling?,"No, it can never improve it, only worsen it.","software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,geKihySfFGyCsO31fWgc
What is the *broker topology* in the *event-driven architecture style*?,"In this topology there is no central mediator. Instead messages are distributed in a broadcasting fashion using a message broker. The core components in each workflow are: an initiating event, the event broker, an event processor and a processing event. 

The style works well for relatively simple workflows that benefit from high responsiveness and dynamic control over the processing of an event.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,gncnMamD1cUpjCPqXIki
When to use the *adapter pattern*?,"* When you want to use some existing class, but its interface isn’t compatible with the rest of your code.

* When you want to reuse several existing subclasses that lack some common functionality that can’t be added to the superclass.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,gxFYGopIAsIpsFMsDL5y
What six things must an architect be comfortable with when deciding on style?,"* Acquire good understanding of the domain
* Discover and elucidate architecture characteristics
* Understand the required data architecture
* Understand organisational factors which might impact the decision
* Acquire good knowledge about processes, teams and operational concerns
* Explore and understand domain/architecture isomorphism","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,gyBi9UxDaSwQ0sHZelRG
When to use the *template method pattern*?,"* When you want to let clients extend only particular steps of an algorithm, but not the whole algorithm or its structure.

* When you have several classes that contain almost identical algorithms with some minor differences. As a result, you might need to modify all classes when the algorithm changes.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,h0GZtoHV2G1PnPfkyC3L
What are the four foundations of mindfulness?,"* Kaya - body
* Vedanā - feeling tone
* Cittā - mind
* Dhammā/Dharma - ""righteousness"", ""merit"", ""religious and moral duties""","meditation,happiness,buddhism,mindfulness",https://en.wikipedia.org/wiki/Satipatthana,Mindfulness,hBnlPzShoSkR8zJh1h4g
What is the layered architecture style?,"It is a style where code is grouped into logical layers, e.g., presentation, business, persistence and database. It is a technically partitioned architecture.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,hF6R6jGExN04JyF6BjWo
What is the *chain of responsibility/command pattern*?,"It is a behavioral design pattern that lets you pass requests along a chain of handlers. Upon receiving a request, each handler decides either to process the request or to pass it to the next handler in the chain.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,hHfy5VC7QMdjWfMTCUQO
What is the *iterator pattern*?,"It is a behavioral design pattern that lets you traverse elements of a collection without exposing its underlying representation (list, stack, tree, etc.).","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,hSLx9s60xDdHqSxu1VRx
What are some mistakes to avoid when presenting to leadership?,"* Never fight feedback
* Don't evade responsibility or problems
* Don't present a question without an answer
* Avoid academic-style presentations
* Don't fixate on your preferred outcome","common pitfalls,leadership presentation",https://staffeng.com/guides/present-to-executives,Clear Communication,hWRxxySATDxl83leLtNv
What are two common decomposition approaches?,"* Component-based decomposition
* Tactical forking","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,hXPsJlzEWul26a9zTmWn
What are good questions to ask to evaluate *execution*?,"* Do you have mechanisms to ensure predictable high-quality outcomes? 
* Are there clear objective criteria for team performance and output? For example, SLAs, defect rates, customer satisfaction, lead time, and promises kept.
* Are estimates high, medium, or low confidence?
* Are the productivity-sapping constraints known? 
* Is there an efficient and widely accepted way of working on your team?
* How do partners perceive your team’s execution?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,hdlBDtKpY1T4Ne2Bciw9
What are the drivers of modularity and how do they relate to each other?,"Competitive advantage is driven by availability, scalability and speed-to-market.
Speed-to-market is driven by agility.
Agility is driven by deployability, testability and maintainability.","software architecture,modularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,hjD34a4c0sDbwUfSOG7l
What are the five levels of mind?,"* Level 1: The Everyday Mind
* Level 2: Subtle Mind & Subtle Body
* Level 3: The Awake-Aware Mind
* Level 4: The Simultaneous Mind
* Level 5: The Open-Hearted Awareness","meditation,happiness,buddhism,open-hearted awareness,effortless mindfulness",Shift Into Freedom by Loch Kelly,Mindfulness,hqQdUg3r2mIMCRNZomQz
When to use *space-based architecture style*?,"The style suits architectures that benefit from high scalability, high elasticity and high performance. This is achieved by removing the central database and instead leveraging in-memory data grids.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,iQfTDgNR6kMB9JpahWTt
When to use the *strategy pattern*?,"* When you want to use different variants of an algorithm within an object and be able to switch from one algorithm to another during runtime.

* When you have a lot of similar classes that only differ in the way they execute some behavior.

* To isolate the business logic of a class from the implementation details of algorithms that may not be as important in the context of that logic.

* When your class has a massive conditional statement that switches between different variants of the same algorithm.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,isAabaAFZxrkzJzFWIJc
What are the fundamental tools to align technical vectors?,"* Give direct feedback.
* Refine your engineering strategy.
* Encapsulate your approach in your workflows and tooling.
* Train new team members during their onboarding.
* Use Conway’s Law.
* Curate technology change using architecture reviews, investment strategies, and a structured process for adopting new tools.","quality,engineering leadership",https://staffeng.com/guides/manage-technical-quality,Engineering Leadership,j3Hx2D6QgaEXzA9KtU0r
What is the first law of software architecture?,Everything in software architecture is a trade-off.,software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,j77y8ErtV6Y7xf0OPz3H
What is efferent coupling?,The number of outgoing couplings to a code artifact.,"software architecture,decomposition,measurement",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,jEWrzL3XGpLhX2QhVH6k
What five metrics does Laura Tacho suggest to present to the board?,"* Employee ramp time

* Allocation (features vs. bugs vs. maintenance)

* On-time delivery

* Cycle time

* Incident frequency","engineering productivity,metrics","https://leaddev.com/reporting-metrics/five-engineering-kpis-consider-your-next-board-meeting
https://newsletter.pragmaticengineer.com/p/engineering-productivity",Effective Engineering,jPr70iCPVZdyQJpS7JsS
What are the three components of motivation 3.0?,"* Autonomy
* Mastery
* Purpose",motivation,Drive by Daniel Pink,Motivation,jlkFV968zHLIh8a9WgKX
What five capabilities in *lean management and monitoring* drive improvements in software delivery performance?,"* Have a lightweight change approval process.
* Monitor across application and infrastructure to inform business decisions.
* Check system health proactively.
* Improve processes and manage work with work-in-process (WIP) limits.
* Visualize work to monitor quality and communicate throughout the team.","software engineering,performance,lean management,monitoring",Accelerate by Nicole Forsgren et al.,Effective Engineering,kOzjAuYpfdpZwgFU0pbb
What are *creational design patterns*?,"Creational design patterns provide various object creation mechanisms, which increase flexibility and reuse of existing code.","design patterns,creational patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,ksDQOsB4tLE604tGATf4
What is the relationship between semantic workflow complexity and usefulness of orchestration coordination?,They are positively correlated.,"software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,l9loiHLr0gAanMka9mtj
When to use the *singleton* pattern?,"* When a class in your program should have just a single instance available to all clients; for example, a single database object shared by different parts of the program.

* When you need stricter control over global variables.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,lGlS0ZeUSrYJNiCkKxYy
What are the five technical drivers of modularity?,"* Availability
* Scalability
* Deployability
* Testability
* Maintainability","software architecture,modularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,lOCe7MtYoNHrwSvq4inH
What are *leverage points*?,"Places where extra investment preserves quality over time, both by preventing gross quality failures and reducing the cost of future quality investments.

The three most impactful points are **interfaces**, **stateful systems**, and **data models**.","quality,engineering leadership",https://staffeng.com/guides/manage-technical-quality,Engineering Leadership,lhyXCINfYzu9fXFFyA2S
What is tactical forking?,"It is an approach to breaking up a monolith application (when the codebase does not have definable components), where the entire codebase is copied and then each team starts deleting what is not needed for their domain.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,m7FKaLg5HDqBSFpghZYH
What are five distributed architecture styles?,"* Service-based
* Event-driven
* Space-based
* Service-oriented
* Microservices","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,mJG1jWf6WGmfO1j4jDgr
What are possible patterns of reusing code?,"*Reuse is derived via abstraction but operationalized by slow rate of change.*

* Code replication - copy code into each service who requires it
* Shared library - share an artifact of functionality
* Shared service - run shared functionality as a separate service
* Sidecars and service mesh - decouple domain logic from technical / infrastructure logic","software architecture,reuse code",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,mcsgC5LH2prm2Pia7IJO
What are three ways to model components?,"* Actor/actions approach - identify actors and the actions they perform
* Event storming - assume events will be used and identify all possible events
* Workflow approach - model components around workflow (similar to event storming but without assuming an event based system)",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,mgr2qQeboNSGlPFBvcxP
What is the *space-based architecture style?*,"It is an approach to distributed computing systems where the various components interact with each other by exchanging tuples or entries via one or more shared spaces (typically some kind of shared memory). 

This is contrasted with the more common *message queuing service approaches* where the various components interact with each other by exchanging messages via a message broker. 

In a sense, both approaches exchange messages with some central agent, but how they exchange messages is very distinctive.","software architecture,architecture styles",https://en.wikipedia.org/wiki/Space-based_architecture,Software Architecture,mr9G2F5QiW4Bjvk95mV3
What are some tactics for *giving the model time to think*?,"1. Specify steps to complete the task
2. Instruct the model to work out its own solution before rushing to a conclusion","principles,prompt engineering",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,mrf2YFIp0Jwbgit7DRVi
What is the *event-driven architecture style*?,"In an event-driven architecture style, services react and take action based on certain events. There are two primary topologies - *mediator topology* and *broker topology*. The style can be combined with other styles, e.g., microservices.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,nGzamHzDyQ1U7uiZopM4
What is the *Epic Saga Pattern*?,"A pattern that is synchronous, atomic and orchestrated. It mimics the workings of a monolith, and usually requires compensating updates. The pattern features high coupling, low complexity, low availability and very low scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,nS9XuqvPBj6x03KRvyS4
What are the *Seven Factors of Awakening*?,"In Buddhism, the Seven Factors of Awakening are:

* Mindfulness (sati, Sanskrit smrti). To maintain awareness of reality, in particular the teachings (dhamma).
* Investigation of the nature of reality (dhamma vicaya, Skt. dharmapravicaya).
* Energy (viriya, Skt. vīrya) also determination, effort
* Joy or rapture (pīti, Skt. prīti)
* Relaxation or tranquility (passaddhi, Skt. prashrabdhi) of both body and mind
* Concentration, (samādhi) a calm, one-pointed state of mind, or ""bringing the buried latencies or samskaras into full view"".
* Equanimity (upekkha, Skt. upekshā). To accept reality as-it-is (yathā-bhuta) without craving or aversion.","mindfulness,buddhism,meditation",https://en.wikipedia.org/wiki/Seven_Factors_of_Awakening,Mindfulness,ndMtyfnLOPsAMQb73q01
What are good questions to ask when evaluating a bet?,"* How does this strategy address our key challenges? 
* What do we anticipate the impact will be if we deliver on this bet? 
* How might we know whether we’re successful?
* Why is now the best time to pursue this strategy?","strategy,bets,leadership",https://coda.io/@lshackleton/quarterly-plus-okrs/big-bets-11,Engineering Leadership,nqUYYImj2wgvQlPc4UPU
What is the second level of mind?,"Subtle Mind & Subtle Body

Subtle mind is the nonjudgmental, mindful witness of contents of mind and body. Subtle body is when local awareness experiences our body and energy directly from working.","meditation,open-hearted awareness,buddhism,happiness,effortless mindfulness",Shift Into Freedom by Loch Kelly,Mindfulness,o499Kwjt3IzsiRoPA2S1
What are three central concepts when talking about modularity?,"* Cohesion - a measure of how related parts are to one another. 
* Coupling - how parts are connected to each other. 
* Connascence - the *degree* to which something is coupled.","software architecture,modularity",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,o59nGe4t09MhV665rDKL
What are good questions to ask when you are stuck?,"* What’s another angle I can look from? 
* What’s the most important thing? 
* What does success look like?  
* Who else may be able to help? 
* What’s important to me about this? 
* What have I done in the past that is like this? 
* What would a 10% improvement be? 
* What’s the next smallest step I can take?",reframing questions,Culture Amp Resilience Quiz,Engineering Leadership,oO2RTtqbBJ5lAoLyKZiP
What is the *Time Travel Saga Pattern*?,"A pattern that is synchronous, exhibits eventual consistency and is choreographed. Well suited for simple workflows requiring high throughput. The pattern features medium coupling, low complexity, medium availability and high scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,oXzsywhG6lsMlG5dVDGs
What is instability?,"The ratio of efferent coupling to the sum of efferent and afferent coupling.

Instability, **I**, is defined as:

`$I = \dfrac{C_e}{C_e + C_a},$`

where **Ca** represents efferent (outgoing) coupling and **Ca** represents afferent (incoming) coupling.

A value close to 1 means the codebase is unstable, since there is a high risk of breaking the codebase due to high coupling. A value close to 0 means the code is either stable or rigid. If the codebase has low instability but consists mainly of concrete elements (i.e., *abstractness* is low), then it is rigid.","software architecture,decomposition,measurement",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,og4AthtlnXSsrapbqvQw
What is the *Determine Component Dependencies Pattern*?,"The purpose of the pattern is to analyze the incoming and outgoing dependencies between components to determine what the resulting service dependency graph might look like after breaking up the monolithic application. 

A component dependency is formed when a class from one component interacts with a class from another component. There are tools that can support in applying this pattern.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,ohtVPh1e4aTgeqrbOsak
What are design patterns?,Design patterns are typical solutions to commonly occurring problems in software design.,design pattern,https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,oktfJxZmtG7eWI3JK069
What is the *template method pattern*?,It is a behavioral design pattern that defines the skeleton of an algorithm in the superclass but lets subclasses override specific steps of the algorithm without changing its structure.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,olAgmjMG1HShcHsqO0Xj
What are *behavioral design patterns*?,Behavioral design patterns are concerned with algorithms and the assignment of responsibilities between objects.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,oyIPHwnxyjXnVUniG4mp
What are some examples (9) of structural architecture characteristics?,"* Configurability 
* Extensibility
* Installability
* Leverageability/reuse
* Localization
* Maintainability
* Portability
* Supportability
* Upgradeability","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,p44YhhUuKRdC9MUlBFVY
What are three patterns for addressing eventual consistency?,"* Background synchronization pattern - use a separate, external service that periodically checks and keeps data sources in sync
* Orchestrated request-based pattern - ensure data sources are synchronized during the business request (either through sync calls to the other services or using a dedicated sync orchestrator)
* Event-based pattern - use messages and async communication to sync data sources","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,p5wl7tx2GDYUj82a1Rce
What is Time to First Byte?,TTFB is a metric that measures the time between the request for a resource and when the first byte of a response begins to arrive. Should be 800ms or less.,"web vitals,performance,measurement",https://web.dev/ttfb/,Web App Architecture,pVfoNsYVm1C2tpO9iUua
What are good questions to ask to evaluate *team development*?,"* Are you still solving the same problems from one year ago?
* Have you targeted recruiting strategy at identified team gaps?
* How often do people get actionable and objective feedback?
* How has the delivered value increased in the past 3 – 4 quarters?
* How many people got promoted over the past year?
* What lessons did your team learn recently?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,pbeM6l331V1TdyLWjLDe
What is a data mesh?,"A kind of sidecar for analytical data, designed for distributed architectures. It is an alternative to data warehouses and data lakes. Data mesh rest on four principles:

- Domain ownership of data - data is owned and shared by the domains most familiar with the data.

- Data as a product - data should be shared to consumers with a delightful experience.

- Self-serve data platforms - focus on self-service by e.g., declarative creation of data products, discoverability of data products, usage of graphs (for e.g., data lineage, knowledge).

- Computational federated governance - data product owners create policies for access that are automated and embedded as code in each data product.","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,qNzZ5NstGgDIskyBS2fj
What is the one disadvantage of domain partitioning?,* Customisation code appears in multiple places,"software architecture,partitioning",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,qmHkFgNRPjAophCW4DAJ
When to use the *iterator pattern*?,"* When your collection has a complex data structure under the hood, but you want to hide its complexity from clients (either for convenience or security reasons).

* To reduce duplication of the traversal code across your app.

* When you want your code to be able to traverse different data structures or when types of these structures are unknown beforehand.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,qvZFRW0ABRpWmeUqhLCE
What are twelve tips to improve one's sleep?,"* Stick to a sleep schedule, including on weekends.
* Exercise regularly, but not late in the evening.
* Avoid caffeine and nicotine, especially in the evening.
* Avoid alcoholic drinks before bed.
* Avoid large meals and beverages late at night.
* Avoid medicines that delay or disrupt your sleep.
* Don't take naps after 3 PM.
* Relax before bed, ideally create a relaxing ritual.
* Take a hot bath before bed.
* Keep your bedroom dark, cool and gadget free.
* Have the right sunlight exposure, i.e., plenty of sun or bright lights in the morning and little light in the evening.
* Don't lie in bed awake, get up and do something relaxing until you're sleepy.","sleep,health",Why We Sleep by Matthew Walker,Life Hacks,qvvkezGxySCL3wPIjABl
When to use the *command pattern*?,"* When you want to parametrize objects with operations.

* When you want to queue operations, schedule their execution, or execute them remotely. 

* When you want to implement reversible operations.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,qyKzx4kLuOlk9N46Fj0e
"When do ”if-then” rewards (i.e., carrots) work?","When the task neither inspires nor requires deep-thinking. 

To increase the chance of success, do:

* Offer a rationale why the task is necessary. 
* Acknowledge that the task is boring. 
* Allow people to complete the task their own way.",motivation,Drive by Daniel Pink,Motivation,r5EsoonzcWmw0jfi00rJ
What is the *mediator topology* in the *event-driven architecture style*?,"In this topology there is an event mediator, which manages and controls the workflow for initiating events that require coordination of multiple event processors. The core components are: an initiating event, an event queue, an event mediator, event channels and event processors.

This style works well for more complex workflows, where more control over the event processing is required.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,rDGgDTP9VcLyT8HtTVHg
What is an architecture quantum?,"An independently deployable artifact with high functional cohesion, high static coupling and synchronous  dynamic coupling.",software architecture,Software Architecture: The Hard Parts by Neil Ford et al.,Software Architecture,rNC5Hlfccl530lUtpuSl
What are four capabilities of large language models (LLMs)?,"*Summarizing*

Summarize or extract relevant information from a text. For better answers, give instructions on the purpose of the summary. 

*Inferring*

Extract the sentiment and/or topics of a text. 

*Transforming*

Transform a certain input text to a different output (e.g., translate languages, convert format, adjust tone, check spelling and grammar). 

*Expanding*

Take a shorter piece of text to generate a longer one.","prompt engineering,capabilities",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,rUhTrrHkiTexMgsH5kVn
What is Largest Contentful Paint?,"The Largest Contentful Paint (LCP) metric reports the render time of the largest image or text block visible within the viewport, relative to when the page first started loading. Should be 2.5 seconds or less.","web vitals,performance,measurement",https://web.dev/lcp/,Web App Architecture,rW3txg79XhWViFkUr5FC
What are the five advantages of domain partitioning?,"* Modelled more closely to business functions
* Easier to evolve team and organisation around domains
* Aligns more closely with a modular monolith and microservices
* Message flow matches the problem domain
* Easy to migrate data and components to distributed architecture","software architecture,partitioning",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,rd9HjJMu3sLdKJ1R4mYz
When to use the *bridge pattern*?,"* When you want to divide and organize a monolithic class that has several variants of some functionality (for example, if the class can work with various database servers).

* When you need to extend a class in several orthogonal (independent) dimensions.

* If you need to be able to switch implementations at runtime.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,s466EKEEksRMBd5fSJdy
What metrics does Laura Tacho suggest a team looking to improve their delivery speed look at?,"* Number of projects per engineer

* Interruptions or urgent requests per sprint

* Team utilization – do you plan your team at 100% each sprint, hoping to catch up on work, resulting in a deadlock whenever an unplanned request comes in?","engineering productivity,dora,space,metrics",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,s4xu1ZruJiPEj0hvbS5S
What fitness functions for governance can be implemented as part of the *Flatten Component Pattern*?,* No source code should reside in a root namespace,"software architecture,decomposition,architectural fitness function",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,sH5Dc3wdn6PbSfiWEsSO
What is the *Parallel Saga Pattern*?,"A pattern that is asynchronous, exhibits eventual consistency and is orchestrated. Well suited for complex workflows (since it is orchestrated) but with better scalability than e.g., the *Epic Saga Pattern*. The pattern features low coupling, low complexity, high availability and high scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,t0vJSzXmndbswFC4G8ia
What is one benefit of *DORA* to leaders outside of software engineering?,"Since DORA metrics are so clearly articulated, they’re very accessible to leaders outside of software engineering.","engineering productivity,dora,metrics",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,tXFzG7VJLEGfbain9OHg
What is the *builder* pattern?,It is a creational design pattern that lets you construct complex objects step by step. The pattern allows you to produce different types and representations of an object using the same construction code.,"design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,ta3CEbaUGGwSlUWOqhwP
What is the *accessibility* principle?,"Designing products that are accessible to everyone, including users with impairments, is a fundamental tenet of user experience (UX). Accessibility means creating products that can be used by people with visual, auditory, or physical impairments or those who use assistive technologies. Using straightforward language, including alternative text for images, and making products compatible with screen readers and other assistive technology are all part of designing for accessibility.","UX,principles",https://blog.openreplay.com/ux-best-practices-for-developers/,User Experience,tcU7BS60qMstFv73XqyP
What are consumer-driven contracts?,"Instead of a data provider defining the contract for others to use, the consumers define the contracts, and the producer includes these during build, making sure contract tests are always green.","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,toJql3UQ5wm3aMSxAMRw
When to use the *decorator/wrapper pattern*?,"* When you need to be able to assign extra behaviors to objects at runtime without breaking the code that uses these objects.

* When it’s awkward or not possible to extend an object’s behavior using inheritance.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,ujR1wXb303sFyMHbhvgd
What is a *Gherkin* scenario?,"Gherkin is a plain-text language with a simple structure. 

It is designed to be easy to learn by non-programmers, yet structured enough to allow concise description of test scenarios and examples to illustrate business rules in most real-world domains.","testing,gherkin,bdd",https://support.smartbear.com/cucumberstudio/docs/bdd/write-gherkin-scenarios.html,Testing Strategies,uzK9lc1uTS9wzZKidY8g
What are good questions to ask to evaluate *strategic vision*?,"* Is your team working towards a visionary goal with clear exit metrics? 
* Does every engineer understand how their work contributes to the long-term goals?
* Do workstreams cohere by providing mutually-overlapping benefits?
* Can anyone explain why a specific task is in the plan?","measurement,heuristics,evaluation,leadership",https://abdulapopoola.com/2023/01/09/evaluating-managers-5-heuristics-to-measure-managerial-impact,Engineering Leadership,v3A3KOrj4b6eDtHxKdeu
What is the purpose of *contract tests*?,To verify interactions at the boundary of an external service asserting that it meets the contract expected by a consuming service.,"testing,quality assurance,contract tests",https://martinfowler.com/articles/microservice-testing/fallback.html,Testing Strategies,v9ZF9TFW0dnCpNOKcjhL
What is component-based decomposition?,"It is an approach to breaking up a monolith application (when the codebase has definable components), where the code is broken into *domain services* based on components in the monolith. This yields a *service-based architecture*, which if needed, can then be migrated to a *microservice architecture*.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,vHclACxa8W2QTKk8T6P7
What is the *factory method*?,"It is a creational design pattern that provides an interface for creating objects in a superclass, but allows subclasses to alter the type of objects that will be created.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,vMmFuDHRukY20MB2ce37
What is *agility*?,The ability to respond quickly to change.,software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,vOlCOuwMyqb5uMauX7u5
What fitness functions for governance can be implemented as part of the *Identify and Size Components Pattern*?,"* Maintain component inventory
* No component shall exceed <some percent> of the overall codebase
* No component shall exceed <some number of standard deviations> from the mean component size","software architecture,decomposition,architectural fitness function",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,vcCop0gMItpzG0QZbuBw
What is the difference between *structural type languages* and *nominal type languages*?,"A static type checker uses either the names or the structure of the types in order to compare them against other types. 

Checking against the name is nominal typing and checking against the structure is structural typing.",type systems,https://medium.com/@thejameskyle/type-systems-structural-vs-nominal-typing-explained-56511dd969f4,Software Architecture,wARocY7CpYQRsLZx9lM0
What is the *visitor pattern*?,It is a behavioral design pattern that lets you separate algorithms from the objects on which they operate.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,wOF1oLyskEBgmZLAShHJ
What is a data product quantum?,"A code artifact that acts as an interface to the overall analytical and reporting portion of a system. It is operationally independent from other services in its domain, yet highly coupled to them and their data.","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,wPYepS9gpI1FtnP0dYr2
"What questions should we ask ourselves when feeling anxious, according to the TEB cycle?","* What thoughts am I thinking ? 
* How do they make me feel? 
* What do they make me do?","mental health,cognitive distortion",https://www.tenpercent.com/meditationweeklyblog/anxiety,Mindfulness,wjVhSfzuXuHcFoBCsa6S
What are four good questions to ask when writing code?,"* Are we solving the right problem?
* Does our solution work as we think?
* What is the quality of our work?
* Are we working efficiently?","software engineering,evaluation",Modern Software Engineering by David Farley,Effective Engineering,wkgLvzctAOEN8u37a1RO
When to use the *prototype* pattern?,"* When your code shouldn’t depend on the concrete classes of objects that you need to copy.

* When you want to reduce the number of subclasses that only differ in the way they initialize their respective objects.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,xExR04MrgY1SM7g0AAWt
What are the disadvantages of a data lake?,"* Sometimes difficult to understand relationships
* Requires ad-hoc transformations","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,xRSaRaOVwhOjcmREWL8u
